Year,Month,MeanFlow,TotalPrecip,Date,NumDate
1961,4,69,37.8,4/1/1961,22372
1961,5,121,42.7,5/1/1961,22402
1961,6,256,9.9,6/1/1961,22433
1961,7,129,153.7,7/1/1961,22463
1961,8,131,26.7,8/1/1961,22494
1961,9,78.4,22.1,9/1/1961,22525
1962,4,91.5,15,4/1/1962,22737
1962,5,97.5,56.9,5/1/1962,22767
1962,6,169,45.2,6/1/1962,22798
1962,7,157,33.3,7/1/1962,22828
1962,8,118,51.3,8/1/1962,22859
1962,9,86.1,26.9,9/1/1962,22890
1963,4,49.3,19.1,4/1/1963,23102
1963,5,70.2,19.6,5/1/1963,23132
1963,6,204,146.3,6/1/1963,23163
1963,7,197,90.4,7/1/1963,23193
1963,8,125,16.8,8/1/1963,23224
1963,9,105,50.5,9/1/1963,23255
1964,4,72.6,13.2,4/1/1964,23468
1964,5,94.8,63.8,5/1/1964,23498
1964,6,219,101.6,6/1/1964,23529
1964,7,196,72.1,7/1/1964,23559
1964,8,100,8.1,8/1/1964,23590
1964,9,77.8,57.4,9/1/1964,23621
1965,4,89.3,12.4,4/1/1965,23833
1965,5,66.8,44.2,5/1/1965,23863
1965,6,245,169.9,6/1/1965,23894
1965,7,265,117.6,7/1/1965,23924
1965,8,161,69.9,8/1/1965,23955
1965,9,105,81.5,9/1/1965,23986
1966,4,84.5,42.7,4/1/1966,24198
1966,5,110,58.4,5/1/1966,24228
1966,6,231,79.2,6/1/1966,24259
1966,7,221,113.3,7/1/1966,24289
1966,8,127,30.5,8/1/1966,24320
1966,9,96.3,4.6,9/1/1966,24351
1967,4,107,26.9,4/1/1967,24563
1967,5,85,61,5/1/1967,24593
1967,6,311,54.1,6/1/1967,24624
1967,7,207,7.6,7/1/1967,24654
1967,8,138,14.5,8/1/1967,24685
1967,9,98.3,1.5,9/1/1967,24716
1968,4,43.9,18.5,4/1/1968,24929
1968,5,64.6,49.8,5/1/1968,24959
1968,6,190,54.9,6/1/1968,24990
1968,7,158,66.5,7/1/1968,25020
1968,8,103,25.7,8/1/1968,25051
1968,9,99.9,61.7,9/1/1968,25082
1969,4,63.1,56.4,4/1/1969,25294
1969,5,146,29.5,5/1/1969,25324
1969,6,263,126.5,6/1/1969,25355
1969,7,229,75.2,7/1/1969,25385
1969,8,120,15.5,8/1/1969,25416
1969,9,86,52.3,9/1/1969,25447
1970,4,56.3,35.3,4/1/1970,25659
1970,5,76.4,19.1,5/1/1970,25689
1970,6,188,159,6/1/1970,25720
1970,7,139,57.4,7/1/1970,25750
1970,8,97.1,6.6,8/1/1970,25781
1970,9,71.9,23.4,9/1/1970,25812
1971,4,47.5,18,4/1/1971,26024
1971,5,108,18,5/1/1971,26054
1971,6,214,95,6/1/1971,26085
1971,7,141,73.4,7/1/1971,26115
1971,8,136,29.7,8/1/1971,26146
1971,9,81.2,40.4,9/1/1971,26177
1972,4,50,16.8,4/1/1972,26390
1972,5,102,31,5/1/1972,26420
1972,6,308,140.5,6/1/1972,26451
1972,7,233,71.4,7/1/1972,26481
1972,8,155,56.4,8/1/1972,26512
1972,9,103,56.1,9/1/1972,26543
1973,4,52.7,25.7,4/1/1973,26755
1973,5,112,28.2,5/1/1973,26785
1973,6,209,86.1,6/1/1973,26816
1973,7,180,38.1,7/1/1973,26846
1973,8,105,83.6,8/1/1973,26877
1973,9,71.4,27.7,9/1/1973,26908
1974,4,73.5,50.5,4/1/1974,27120
1974,5,111,71.1,5/1/1974,27150
1974,6,279,18.8,6/1/1974,27181
1974,7,207,38.4,7/1/1974,27211
1974,8,157,64,8/1/1974,27242
1974,9,100,37.1,9/1/1974,27273
1975,4,50.8,15.5,4/1/1975,27485
1975,5,83.2,68.1,5/1/1975,27515
1975,6,142,70.9,6/1/1975,27546
1975,7,151,63,7/1/1975,27576
1975,8,95.5,27.7,8/1/1975,27607
1975,9,70.3,22.9,9/1/1975,27638
1976,4,55.5,13.7,4/1/1976,27851
1976,5,134,55.9,5/1/1976,27881
1976,6,162,60.5,6/1/1976,27912
1976,7,181,69.6,7/1/1976,27942
1976,8,173,92.5,8/1/1976,27973
1976,9,136,38.1,9/1/1976,28004
1977,4,44.5,5.6,4/1/1977,28216
1977,5,65.4,97,5/1/1977,28246
1977,6,127,29.3,6/1/1977,28277
1977,7,89.1,63.3,7/1/1977,28307
1977,8,89.9,92.1,8/1/1977,28338
1977,9,68.5,77.5,9/1/1977,28369
1978,4,50.7,79.2,4/1/1978,28581
1978,5,85.6,75.8,5/1/1978,28611
1978,6,172,59.6,6/1/1978,28642
1978,7,155,55.8,7/1/1978,28672
1978,8,98.2,104.7,8/1/1978,28703
1978,9,85,82.3,9/1/1978,28734
1979,4,59.5,37,4/1/1979,28946
1979,5,85.2,41.4,5/1/1979,28976
1979,6,120,47.5,6/1/1979,29007
1979,7,103,46.3,7/1/1979,29037
1979,8,83.9,28.5,8/1/1979,29068
1979,9,68.7,19.9,9/1/1979,29099
1980,4,58.6,22.2,4/1/1980,29312
1980,5,133,95.1,5/1/1980,29342
1980,6,219,103.6,6/1/1980,29373
1980,7,107,50,7/1/1980,29403
1980,8,87,31.3,8/1/1980,29434
1980,9,67.4,41,9/1/1980,29465
1981,4,68.9,2.6,4/1/1981,29677
1981,5,170,142.1,5/1/1981,29707
1981,6,233,68.9,6/1/1981,29738
1981,7,256,127,7/1/1981,29768
1981,8,201,28.4,8/1/1981,29799
1981,9,99.6,40.1,9/1/1981,29830
1982,4,50.7,12,4/1/1982,30042
1982,5,71.8,81.8,5/1/1982,30072
1982,6,193,86.8,6/1/1982,30103
1982,7,159,75.1,7/1/1982,30133
1982,8,94.4,24,8/1/1982,30164
1982,9,74.2,62.8,9/1/1982,30195
1983,4,64.4,55.2,4/1/1983,30407
1983,5,75.7,9.6,5/1/1983,30437
1983,6,136,47.8,6/1/1983,30468
1983,7,132,59,7/1/1983,30498
1983,8,105,42,8/1/1983,30529
1983,9,73.8,16,9/1/1983,30560
1984,4,47.3,15.5,4/1/1984,30773
1984,5,57,65.8,5/1/1984,30803
1984,6,128,73,6/1/1984,30834
1984,7,122,24.6,7/1/1984,30864
1984,8,92.3,16.4,8/1/1984,30895
1984,9,77.8,108.2,9/1/1984,30926
1985,4,51.2,23.9,4/1/1985,31138
1985,5,93.2,21.9,5/1/1985,31168
1985,6,115,40.9,6/1/1985,31199
1985,7,121,53.2,7/1/1985,31229
1985,8,87.9,66.2,8/1/1985,31260
1985,9,87,123.8,9/1/1985,31291
1986,4,51.6,11.4,4/1/1986,31503
1986,5,94.8,67.5,5/1/1986,31533
1986,6,295,81.1,6/1/1986,31564
1986,7,164,93.7,7/1/1986,31594
1986,8,106,21.7,8/1/1986,31625
1986,9,78.3,145.6,9/1/1986,31656
1987,4,48.7,22.4,4/1/1987,31868
1987,5,140,12.7,5/1/1987,31898
1987,6,118,21.8,6/1/1987,31929
1987,7,104,126.3,7/1/1987,31959
1987,8,81.9,102.9,8/1/1987,31990
1987,9,87.2,29.2,9/1/1987,32021
1988,4,62.6,1.5,4/1/1988,32234
1988,5,90.7,16,5/1/1988,32264
1988,6,150,84.6,6/1/1988,32295
1988,7,124,46.8,7/1/1988,32325
1988,8,91.9,163.9,8/1/1988,32356
1988,9,95.7,43.5,9/1/1988,32387
1989,4,49,22.8,4/1/1989,32599
1989,5,70.4,41.2,5/1/1989,32629
1989,6,148,80.7,6/1/1989,32660
1989,7,119,50.6,7/1/1989,32690
1989,8,120,61.6,8/1/1989,32721
1989,9,96.5,41.4,9/1/1989,32752
1990,4,67.4,21.2,4/1/1990,32964
1990,5,115,100.2,5/1/1990,32994
1990,6,323,61.3,6/1/1990,33025
1990,7,232,83.7,7/1/1990,33055
1990,8,135,58.3,8/1/1990,33086
1990,9,78.1,7.5,9/1/1990,33117
1991,4,56,7.1,4/1/1991,33329
1991,5,124,96.1,5/1/1991,33359
1991,6,234,113.2,6/1/1991,33390
1991,7,258,29.6,7/1/1991,33420
1991,8,158,64.2,8/1/1991,33451
1991,9,82.4,25.9,9/1/1991,33482
1992,4,58.3,24.6,4/1/1992,33695
1992,5,95.4,46.2,5/1/1992,33725
1992,6,159,177.2,6/1/1992,33756
1992,7,146,76.2,7/1/1992,33786
1992,8,93.5,41.5,8/1/1992,33817
1992,9,59.5,48.1,9/1/1992,33848
1993,4,57.4,6.5,4/1/1993,34060
1993,5,110,61.9,5/1/1993,34090
1993,6,142,118.4,6/1/1993,34121
1993,7,175,87,7/1/1993,34151
1993,8,151,92.3,8/1/1993,34182
1993,9,116,24.3,9/1/1993,34213
1994,4,57,12.6,4/1/1994,34425
1994,5,108,62.5,5/1/1994,34455
1994,6,156,68.4,6/1/1994,34486
1994,7,123,38,7/1/1994,34516
1994,8,106,84.4,8/1/1994,34547
1994,9,65.2,10.4,9/1/1994,34578
1995,4,54.6,31.8,4/1/1995,34790
1995,5,90,71.9,5/1/1995,34820
1995,6,276,43.4,6/1/1995,34851
1995,7,172,133.4,7/1/1995,34881
1995,8,132,34.2,8/1/1995,34912
1995,9,95.8,27.9,9/1/1995,34943
1996,4,69.8,18.5,4/1/1996,35156
1996,5,80.3,51.5,5/1/1996,35186
1996,6,210,59.2,6/1/1996,35217
1996,7,197,41.9,7/1/1996,35247
1996,8,117,21,8/1/1996,35278
1996,9,75.5,46.4,9/1/1996,35309
1997,4,55.9,12.6,4/1/1997,35521
1997,5,88.8,100.7,5/1/1997,35551
1997,6,211,138.4,6/1/1997,35582
1997,7,122,16.9,7/1/1997,35612
1997,8,101,57.8,8/1/1997,35643
1997,9,84.4,37.8,9/1/1997,35674
1998,4,55.6,41.2,4/1/1998,35886
1998,5,124,86.4,5/1/1998,35916
1998,6,210,110.4,6/1/1998,35947
1998,7,157,132.2,7/1/1998,35977
1998,8,102,18,8/1/1998,36008
1998,9,70.9,26,9/1/1998,36039
1999,4,64,72.8,4/1/1999,36251
1999,5,70.7,52.8,5/1/1999,36281
1999,6,143,95.4,6/1/1999,36312
1999,7,206,103.8,7/1/1999,36342
1999,8,177,89.2,8/1/1999,36373
1999,9,104,9.1,9/1/1999,36404
2000,4,61.2,17,4/1/2000,36617
2000,5,74.8,28.8,5/1/2000,36647
2000,6,112,109.8,6/1/2000,36678
2000,7,147,66.8,7/1/2000,36708
2000,8,104,63.9,8/1/2000,36739
2000,9,71.2,53.6,9/1/2000,36770
2001,4,46.3,19.2,4/1/2001,36982
2001,5,72.3,30.5,5/1/2001,37012
2001,6,129,121.4,6/1/2001,37043
2001,7,106,58.8,7/1/2001,37073
2001,8,81.1,14.2,8/1/2001,37104
2001,9,52.6,13,9/1/2001,37135
2002,4,45.4,20.5,4/1/2002,37347
2002,5,59.1,34,5/1/2002,37377
2002,6,230,58.6,6/1/2002,37408
2002,7,185,34.6,7/1/2002,37438
2002,8,94.3,57.4,8/1/2002,37469
2002,9,73.4,58.2,9/1/2002,37500
2003,4,58.3,81.8,4/1/2003,37712
2003,5,84.6,34.5,5/1/2003,37742
2003,6,187,104.8,6/1/2003,37773
2003,7,107,42.2,7/1/2003,37803
2003,8,78.6,39.3,8/1/2003,37834
2003,9,67.4,39.6,9/1/2003,37865
2004,4,53.8,18,4/1/2004,38078
2004,5,76.8,55.6,5/1/2004,38108
2004,6,145,98.2,6/1/2004,38139
2004,7,138,54.2,7/1/2004,38169
2004,8,108,58.6,8/1/2004,38200
2004,9,113,30.4,9/1/2004,38231
2005,4,61.9,8.4,4/1/2005,38443
2005,5,95.6,18.8,5/1/2005,38473
2005,6,293,247.6,6/1/2005,38504
2005,7,177,19.8,7/1/2005,38534
2005,8,110,98.2,8/1/2005,38565
2005,9,107,86,9/1/2005,38596
2006,4,67.5,29.4,4/1/2006,38808
2006,5,117,37,5/1/2006,38838
2006,6,162,122.8,6/1/2006,38869
2006,7,114,51.4,7/1/2006,38899
2006,8,75.1,33.2,8/1/2006,38930
2006,9,72.1,62,9/1/2006,38961
2007,4,64.6,46.4,4/1/2007,39173
2007,5,122,90.8,5/1/2007,39203
2007,6,258,165.8,6/1/2007,39234
2007,7,174,25.2,7/1/2007,39264
2007,8,98.1,54.4,8/1/2007,39295
2007,9,75.3,44.2,9/1/2007,39326
2008,4,55.6,35.8,4/1/2008,39539
2008,5,124,102.2,5/1/2008,39569
2008,6,224,113.3,6/1/2008,39600
2008,7,174,77.1,7/1/2008,39630
2008,8,108,53.6,8/1/2008,39661
2008,9,92.6,27.8,9/1/2008,39692
2009,4,57.3,11.4,4/1/2009,39904
2009,5,66.9,14.2,5/1/2009,39934
2009,6,124,42.6,6/1/2009,39965
2009,7,107,70.6,7/1/2009,39995
2009,8,95.9,62.2,8/1/2009,40026
2009,9,70.8,2.2,9/1/2009,40057
2010,4,47.2,52,4/1/2010,40269
2010,5,69.2,63.8,5/1/2010,40299
2010,6,128,63.8,6/1/2010,40330
2010,7,110,66,7/1/2010,40360
2010,8,78.7,86.6,8/1/2010,40391
2010,9,69.5,62.4,9/1/2010,40422
2011,4,63.4,56.4,4/1/2011,40634
2011,5,112,87.6,5/1/2011,40664
2011,6,261,78.8,6/1/2011,40695
2011,7,206,107.8,7/1/2011,40725
2011,8,132,83,8/1/2011,40756
2011,9,86.5,10.6,9/1/2011,40787
